sample_id	accession_id	CurrentName	plate	well	has_seed	RowTree	Voucher	Provenance	RowNum	YearPlanted	TreeNum	DNNumber	FieldComments	Date	FieldDetermination	Location	Description	Latitude	Longitude	Genus	Subgenus	Section	Series	Subseries	Species	Subspecies
CCA0866	CCA0866	Corymbia citriodora	CC02	H02	No	R054/T24	DN 702	Springsure, Qld	54	1994	24	702		1993-12-07	Corymbia citriodora	Springsure to Rolleston road, south-east of Springsure, Queensland.	Tree 15 metres tall. Bark smooth grey over pinkish white. Leaves glossy green. No mature buds present. Growing with Eucalyptus crebra. Springsure map. AD	-24.225	148.233333333333	Corymbia	Blakella	Maculatae	""	""	citriodora	""
CCA0837	CCA0837	Corymbia eximia	CC02	A03	Yes	R053/T21	DN 632	Wisemans Ferry, NSW	53	1994	21	632		1993-12-02	Corymbia eximia	Hawksbury River scarp near Wisemans Ferry, New South Wales.	Tree 10 metres tall. Bark rough and flaky, yellow-brown and tan. Leaves dull, slightly bluish green. Growing on a steep sandstone slope with Eucalyptus punctata. Sydney map. AD	-33.3897222222222	150.9825	Corymbia	Blakella	Naviculares	""	""	eximia	""
CCA0831	CCA0831	Eucalyptus notabilis	CC02	B03	Yes	R053/T15	DN 630	Faulconbridge, NSW	53	1994	15	630		1993-12-02	Eucalyptus notabilis	Blue Mountains, New South Wales.	Tree 15 m tall. Bark rough and grey throughout. Leaves discolourous, glossy dark green above. Growing with Corymbia intermedia? Sydney Map.	-33.6969444444444	150.547777777778	Eucalyptus	Symphyomyrtus	Latoangulatae	Annulares	""	notabilis	""
CCA0761	CCA0761	Eucalyptus dealbata	CC02	C03	No	R050/T05	DN 723	Inverell, NSW	50	1994	5	723		1993-12-10	Eucalyptus dealbata	Near Bingara, New South Wales.	Multi-stemmed tree 7 m tall. Bark smooth, grey over cream. Leaves dull grey. Twigs and fruit pruinose. Growing on rise with Eucalyptus albens and E. melanophloia. Inverall Map.	-29.7458333333333	151.560555555556	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	dealbata	""
CCA0965	CCA0965	Eucalyptus michaeliana	CC02	D03	No	R061/T02	DN 650	Hillgrove, NSW	61	1994	2	650		1993-12-04	Eucalyptus michaeliana	NSW	Tree 18m tall. Bark smooth, conspicuously mottled, greenish-grey over light grey. Leaves dull, blue green. Growing on slight rise with E. cameronii. Dorrigo.	-30.5908333333333	151.955277777778	Eucalyptus	Symphyomyrtus	Racemus	""	""	michaeliana	""
CCA0615	CCA0615	Eucalyptus cneorifolia	CC02	E03	Yes	R044/T01	DN 75	Waitpinga, SA	44	1994	1	75		1992-07-25	Eucalyptus cneorifolia	Wilson Hill 10 km, west Victor Harbour, South Australia	AD	-35.5666666666667	138.533333333333	Eucalyptus	Symphyomyrtus	Bisectae	Angustissimae	""	cneorifolia	""
CCA0813	CCA0813	Eucalyptus baileyana	CC02	F03	No	R052/T21	DN 665	Baryulgil, NSW	52	1994	21	665		1993-12-05	Eucalyptus baileyana	Coaldale Road, between Grafton and Baryulgil, New South Wales.	Tree 20 metres tall. Bark rough, finely stringy red-grey. Leaves discolourous, glossy green. Growing on edge of sandstone outcrop with Corymbia variegata, Eucalyptus psammitica and E. pilularis. Grafton Map.	-29.4530555555556	152.8225	Eucalyptus	Eudesmia	Complanatae	Scutelliformes	""	baileyana	""
CCA0575	CCA0575	Eucalyptus salmonophloia	CC02	G03	No	R042/T13	DN 341	Spinifex Range, WA	42	1994	13	341		1992-12-15	Eucalyptus salmonophloia		Large tree to 20m tall. Growing with E. transcontinentalis. Bark smooth, grey. Lightly glossy, green leaves	-30.8105555555556	122.833333333333	Eucalyptus	Symphyomyrtus	Bisectae	Salmonophloiae	""	salmonophloia	""
CCA0800	CCA0800	Eucalyptus prava	CC02	H03	Yes	R052/T01	DN 671	Mt Norman, Qld	52	1994	1	671		1993-12-05	Eucalyptus prava	Walking track to summit of Mt. Norman, Qld.	Scraggly mallee 5m tall. Bark smooth grey over light grey. Leaves dull blue-green. Growing in depressions between granite slabs with E. scoparia. Warwick.	-28.8666666666667	151.966666666667	Eucalyptus	Symphyomyrtus	Exsertaria	'Liberivalvae' ms	""	prava	""
CCA0744	CCA0744	Corymbia trachyphloia subsp. trachyphloia	CC02	A04	No	R049/T18	DN 714	Goodwood, Qld	49	1994	18	714		1993-12-09	Corymbia trachyphloia subsp. trachyphloia	North-east of Childers, Queensland.	Tree 12 metres tall. Bark rough, tessellated, grey-brown. Leaves discolorous, glossy and green above. Dominant here, growing with Eucalyptus latisinensis. AD	-25.1763888888889	152.368611111111	Corymbia	Corymbia	Corymbia	'Trachyphloiae' ms	""	trachyphloia	trachyphloia
