AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25093,LB-1-10,S45093,1-10,LBM01E12,LB-1,-33.416668,149.55055,712,TRUE,42879441
A25094,LB-C-1,S45094,C-1,LBM01F12,LB-C,-35.03333,147.33333,?,TRUE,50767861
A25095,LB-C-2,S45095,C-2,LBM01G12,LB-C,-35.03333,147.33333,?,FALSE,NA
A25096,LB-C-3,S45096,C-3,LBM01H12,LB-C,-35.03333,147.33333,?,TRUE,53771254
A25097,LB-C-4,S45097,C-4,LBM02A01,LB-C,-35.03333,147.33333,?,TRUE,44618248
A25098,LB-C-5,S45098,C-5,LBM02B01,LB-C,-35.03333,147.33333,?,TRUE,47529928
A25099,LB-C-6,S45099,C-6,LBM02C01,LB-C,-35.03333,147.33333,?,TRUE,65102862
A25100,LB-C-7,S45100,C-7,LBM02D01,LB-C,-35.03333,147.33333,?,TRUE,44191010
A25101,LB-C-8,S45101,C-8,LBM02E01,LB-C,-35.03333,147.33333,?,TRUE,49036936
A25102,LB-C-9,S45102,C-9,LBM02F01,LB-C,-35.03333,147.33333,?,TRUE,80858280
A25103,LB-N2-1,S45103,N2-1,LBM02G01,LB-N2,-33.6166,149.64452,782,TRUE,44698300
A25104,LB-N2-2,S45104,N2-2,LBM02H01,LB-N2,-33.6166,149.64452,782,FALSE,NA
A25105,LB-N2-3,S45105,N2-3,LBM02A02,LB-N2,-33.6166,149.64452,782,FALSE,NA
A25106,LB-N2-4,S45106,N2-4,LBM02B02,LB-N2,-33.6166,149.64452,782,TRUE,48961358
A25107,LB-N2-5,S45107,N2-5,LBM02C02,LB-N2,-33.6166,149.64452,782,TRUE,36947767
A25108,LB-N2-6,S45108,N2-6,LBM02D02,LB-N2,-33.6166,149.64452,782,TRUE,54982597
A25109,LB-N2-7,S45109,N2-7,LBM02E02,LB-N2,-33.6166,149.64452,782,TRUE,41348056
A25110,LB-N2-8,S45110,N2-8,LBM02F02,LB-N2,-33.6166,149.64452,782,TRUE,43785406
A25111,LB-N2-9,S45111,N2-9,LBM02G02,LB-N2,-33.6166,149.64452,782,TRUE,38370288
A25112,LB-N2-10,S45112,N2-10,LBM02H02,LB-N2,-33.6166,149.64452,782,TRUE,41893265
A25113,LB-N1-1,S45113,N1-1,LBM02A03,LB-N1,-34.036884,148.5675,318,TRUE,40873369
A25114,LB-N1-2,S45114,N1-2,LBM02B03,LB-N1,-34.036884,148.5675,318,TRUE,40930539
A25115,LB-N1-3,S45115,N1-3,LBM02C03,LB-N1,-34.036884,148.5675,318,TRUE,71611471
A25116,LB-N1-4,S45116,N1-4,LBM02D03,LB-N1,-34.036884,148.5675,318,TRUE,50791911
