SampleID,Species,Location,Date,Latitude,Longitude,Elevation,SampleName,Datum,Population,N,ReferenceSpecies,SetName
J413,Eucalyptus albens,Boggabri - private land,2016-06-16T00:00:00Z,-30.70737,150.09621,NA,J413,WGS84,NA,225,Eucalyptus albens,E_albens
J414,Eucalyptus albens,Narrabri,2016-06-16T00:00:00Z,-30.49283,149.94203,NA,J414,WGS84,NA,225,Eucalyptus albens,E_albens
J416,Eucalyptus sideroxylon,Weewaa,2016-06-17T00:00:00Z,-30.32322,149.26971,NA,J416,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J417,Eucalyptus crebra,Weewaa,2016-06-17T00:00:00Z,-30.32377,149.26567,NA,J417,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J418,Eucalyptus sideroxylon,The Pilliga,2016-06-17T00:00:00Z,-31.05012,149.23013,NA,J418,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J419,Eucalyptus albens,Warrumbungle,2016-06-23T00:00:00Z,-31.35926,148.93951,NA,J419,WGS84,NA,225,Eucalyptus albens,E_albens
J420,Eucalyptus moluccana,Warrumbungle,2016-06-23T00:00:00Z,-31.35926,148.93951,NA,J420,WGS84,NA,11,Eucalyptus albens,E_albens
J421,Eucalyptus sideroxylon,Narromine,2016-06-23T00:00:00Z,-32.36597,148.23103,NA,J421,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J422,Eucalyptus sideroxylon,Dubbo,2016-06-24T00:00:00Z,-32.22311,148.66797,NA,J422,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J423,Eucalyptus moluccana,Coolah,2016-06-24T00:00:00Z,-31.82373,149.68475,NA,J423,WGS84,NA,11,Eucalyptus albens,E_albens
J424,Eucalyptus albens,Ardglen,2016-06-24T00:00:00Z,-31.71111,150.6998,NA,J424,WGS84,NA,225,Eucalyptus albens,E_albens
J425i,Eucalyptus sideroxylon,Bundarra,2016-07-09T00:00:00Z,-30.30756,151.20671,NA,J425i,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J426,Eucalyptus albens,Bundarra,2016-07-09T00:00:00Z,-30.30846,151.20667,NA,J426,WGS84,NA,225,Eucalyptus albens,E_albens
J427,Eucalyptus caleyi,Bundarra,2016-07-09T00:00:00Z,-30.36709,151.25757,NA,J427,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J427a,Eucalyptus caleyi,Bundarra,2016-07-09T00:00:00Z,-30.36709,151.25757,NA,J427a,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J428d,Eucalyptus albens,Inverell,2016-07-09T00:00:00Z,-29.6731,151.15315,NA,J428d,WGS84,NA,225,Eucalyptus albens,E_albens
J429f,Eucalyptus albens,Texas,2016-07-09T00:00:00Z,-28.77243,151.21523,NA,J429f,WGS84,NA,225,Eucalyptus albens,E_albens
J431,Eucalyptus crebra,Inglewood,2016-07-10T00:00:00Z,-28.56955,151.07539,NA,J431,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J432,Eucalyptus fibrosa,Glendon,2016-07-10T00:00:00Z,-28.18033,151.66934,NA,J432,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J433a,Eucalyptus sideroxylon,Glendon,2016-07-10T00:00:00Z,-28.17577,151.6577,NA,J433a,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J434a,Eucalyptus sideroxylon,Allora,2016-07-10T00:00:00Z,-27.7547,152.1189,NA,J434a,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J435d,Eucalyptus sideroxylon,Wondai,2016-07-10T00:00:00Z,-26.36944,151.88103,NA,J435d,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J436d,Eucalyptus albens,Kulpi,2016-07-11T00:00:00Z,-27.18896,151.73259,NA,J436d,WGS84,NA,225,Eucalyptus albens,E_albens
J437,Eucalyptus sideroxylonXmelliodora,"Bundarra, Thunderbolts Way",2016-11-28T00:00:00Z,-30.27552,151.18698,NA,J437,WGS84,NA,2,Eucalyptus sideroxylon,E_sideroxylon
J438,Eucalyptus sideroxylonXmelliodora,"Bundarra, Thunderbolts Way",2016-11-28T00:00:00Z,-30.27563,151.18764,NA,J438,WGS84,NA,2,Eucalyptus sideroxylon,E_sideroxylon
RA1006,Eucalyptus albens,Bundarra Rd,NA,NA,NA,NA,RA1006,WGS84,NA,225,Eucalyptus albens,E_albens
TLC715,Eucalyptus conica,Stanthorpe,NA,-28.68757004,151.962399,851.994751,TLC715,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
TLC720,Eucalyptus conica,Tenterfield,NA,-29.06569697,151.988323,895.315063,TLC720,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
TLC725,Eucalyptus conica,Dundee,NA,-29.60565004,151.867978,1038.672363,TLC725,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
TLC726,Eucalyptus conica,Abington Creek,NA,-30.282428,151.195725,NA,TLC726,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
TLC775,Eucalyptus conica,Inglewood,NA,-28.39504103,151.311965,344,TLC775,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
VMA18,Eucalyptus microcarpa,Mt Arapiles State Park,2013-10-28T00:00:00Z,-36.77474,141.82599,NA,VMA18,WGS84,NA,14,Eucalyptus albens,E_albens
VWG14,Eucalyptus microcarpa,Werribee Gorge State Park,2013-12-03T00:00:00Z,-37.67129,144.36256,NA,VWG14,WGS84,NA,14,Eucalyptus albens,E_albens
Angophora_floribunda_ANU_Banks_Building,Angophora floribunda,ANU Banks Building,NA,NA,NA,NA,NA,WGS84,NA,2,Angophora floribunda,A_floribunda
Corymbia_calophylla_ANBG,Corymbia calophylla,ANBG,NA,NA,NA,NA,NA,WGS84,NA,1,Corymbia callophyla,C_callophyla
Corymbia_maculata_Arboretum_ACT,Corymbia maculata,ACT Arboretum,NA,NA,NA,NA,NA,WGS84,NA,8,Corymbia maculata,C_maculata
Eucalyptus_albens_ANBG,Eucalyptus albens,ANBG,NA,NA,NA,NA,NA,WGS84,NA,225,Eucalyptus albens,E_albens
Eucalyptus_camadulensis_ANBG,Eucalyptus camadulensis,ANBG,NA,NA,NA,NA,NA,WGS84,NA,1,Eucalyptus camadulensis,E_camaldulensis
Eucalyptus_cloezania_ANBG,Eucalyptus cloezania,ANBG,NA,NA,NA,NA,NA,WGS84,NA,1,Eucalyptus cloeziana,E_cloeziana
Eucalyptus_coolabah,Eucalyptus coolabah,CCA,NA,NA,NA,NA,NA,WGS84,NA,3,Eucalyptus coolabah,E_coolabah
Eucalyptus_globulus_UTAS_Campus,Eucalyptus globulus,UTAS Campus,NA,NA,NA,NA,NA,WGS84,NA,7,Eucalyptus globulus,E_globulus
Eucalyptus_grandis,Eucalyptus grandis,CCA,NA,NA,NA,NA,NA,WGS84,NA,11,Eucalyptus grandis,E_grandis
Eucalyptus_sideroxylon_ANBG,Eucalyptus sideroxylon,ANBG,NA,NA,NA,NA,NA,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
CMB0002,Corymbia maculata,W off A1 Hwy S of Batemans' Bay,2018-12-22T17:55:56Z,-35.76518864,150.1498347,10.65988897,NA,WGS84,NA,8,Corymbia maculata,C_maculata
CMB0003,Corymbia maculata,W off A1 Hwy S of Batemans' Bay,2018-12-22T18:21:57Z,-35.76251088,150.1445105,17.83857636,NA,WGS84,NA,8,Corymbia maculata,C_maculata
CMB0004,Corymbia maculata,E down Kianga Rd. off Hwy A1 S of Bateman's Bay,2018-12-22T20:44:32Z,-36.18421901,150.0985728,40.54666008,NA,WGS84,NA,8,Corymbia maculata,C_maculata
